"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 16 05:50:45 GMT 2023","Thu Mar 16 05:50:45 GMT 2023","1","Surefire suite","Surefire test","my.company.SimpleTest","my.company.SimpleTest","simpleTestTwo","simpleTestTwo",""
"passed","Thu Mar 16 05:50:45 GMT 2023","Thu Mar 16 05:50:45 GMT 2023","19","Surefire suite","Surefire test","my.company.SimpleTest","my.company.SimpleTest","simpleTestOne","simpleTestOne",""
